"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/tobiadewunmi/Desktop/unbolt/src/components/Dropdown.css", "CSS", 0, 0, 0, -2, -2
"/Users/tobiadewunmi/Desktop/unbolt/src/components/Dropdown.js", "JavaScript", 0, 0, -49, -5, -54
"/Users/tobiadewunmi/Desktop/unbolt/src/components/Widgets.js", "JavaScript", 0, 4, 0, -1, 3
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/About.css", "CSS", 21, 0, -1, 3, 23
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/About.js", "JavaScript", 0, 8, -8, 6, 6
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/Asset.css", "CSS", 17, 0, 4, 7, 28
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/Asset.js", "JavaScript", 0, 26, -1, 10, 35
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/CreateIntermediary.css", "CSS", 0, 0, 0, -1, -1
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/CreateIntermediary.js", "JavaScript", 0, 0, 0, -1, -1
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/CreateTask.js", "JavaScript", 0, -1, -7, 0, -8
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/Dashboard.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/NoAccess.js", "JavaScript", 0, 23, 10, 5, 38
"/Users/tobiadewunmi/Desktop/unbolt/src/pages/Settings2.js", "JavaScript", 0, 0, -73, -5, -78
"/Users/tobiadewunmi/Desktop/unbolt/src/truffle/migrations/2_deploy_contracts.js", "JavaScript", 0, -2, 2, 0, 0
"Total", "-", 38, 58, -123, 17, -10
